Start profiling...
STAGE:2023-03-21 23:08:33 15306:15306 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-21 23:08:37 15306:15306 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.00%      43.000us         0.00%      55.000us      55.000us             1  
                                       aten::as_strided         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                          aten::reshape         0.00%      27.000us         0.00%      35.000us      35.000us             1  
                                   aten::_reshape_alias         0.00%       8.000us         0.00%       8.000us       8.000us             1  
                                           aten::conv2d         0.00%      33.000us        99.95%        4.647s        4.647s             1  
                                      aten::convolution         0.00%      65.000us        99.95%        4.647s        4.647s             1  
                                     aten::_convolution         0.00%      83.000us        99.94%        4.647s        4.647s             1  
                                aten::cudnn_convolution         1.76%      81.721ms        99.94%        4.647s        4.647s             1  
                               cudaPointerGetAttributes         0.00%      15.000us         0.00%      15.000us      15.000us             1  
                               cudaPointerGetAttributes         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                               cudaPointerGetAttributes         0.00%       8.000us         0.00%       8.000us       8.000us             1  
                                          cudaHostAlloc         0.00%      50.000us         0.00%      50.000us      50.000us             1  
                               cudaPointerGetAttributes         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                          cudaHostAlloc         0.00%      21.000us         0.00%      21.000us      21.000us             1  
                                     cudaGetDeviceCount         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaDriverGetVersion         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                cudaGetDeviceProperties         0.01%     235.000us         0.01%     235.000us     235.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                              cudaStreamCreateWithFlags         4.35%     202.145ms         4.35%     202.145ms     202.145ms             1  
                              cudaStreamCreateWithFlags         0.00%     211.000us         0.00%     211.000us     211.000us             1  
                              cudaStreamCreateWithFlags         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                              cudaStreamCreateWithFlags         0.00%       9.000us         0.00%       9.000us       9.000us             1  
                              cudaStreamCreateWithFlags         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                              cudaStreamCreateWithFlags         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                              cudaStreamCreateWithFlags         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                              cudaStreamCreateWithFlags         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                       cudaDeviceGetStreamPriorityRange         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                           cudaStreamCreateWithPriority         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                           cudaStreamCreateWithPriority         0.00%       7.000us         0.00%       7.000us       7.000us             1  
                           cudaStreamCreateWithPriority         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                           cudaStreamCreateWithPriority         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                                             cudaMalloc         0.00%     140.000us         0.00%     140.000us     140.000us             1  
                                             cudaMalloc         0.00%      53.000us         0.00%      53.000us      53.000us             1  
                                             cudaMalloc         0.00%      10.000us         0.00%      10.000us      10.000us             1  
                                             cudaMalloc         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                        cudaMemsetAsync         0.00%      28.000us         0.00%      28.000us      28.000us             1  
                                        cudaMemsetAsync         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                        cudaMemsetAsync         0.00%      11.000us         0.00%      11.000us      11.000us             1  
                                        cudaMemsetAsync         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                                          cudaHostAlloc         0.00%      26.000us         0.00%      26.000us      26.000us             1  
                               cudaHostGetDevicePointer         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                               cudaFree        38.77%        1.802s        38.77%        1.802s        1.802s             1  
                                 cudaDeviceGetAttribute         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaGetSymbolAddress         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                               cudaFree        11.68%     543.234ms        11.68%     543.234ms     543.234ms             1  
                                             cudaMalloc         0.00%      33.000us         0.00%      33.000us      33.000us             1  
                                             cudaMalloc         0.00%       5.000us         0.00%       5.000us       5.000us             1  
                                             cudaMalloc         0.00%     190.000us         0.00%     190.000us     190.000us             1  
                                               cudaFree         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                  cudaStreamIsCapturing         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                  cudaStreamGetPriority         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                       cudaDeviceGetStreamPriorityRange         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaFuncGetAttributes        43.36%        2.016s        43.36%        2.016s        2.016s             1  
                                   cudaFuncSetAttribute         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaFuncGetAttributes         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::empty         0.00%      29.000us         0.00%      29.000us      29.000us             1  
                                  cudaFuncGetAttributes         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemsetAsync         0.00%      29.000us         0.00%      29.000us      29.000us             1  
                                       cudaLaunchKernel         0.00%      17.000us         0.00%      17.000us      17.000us             1  
                                        cudaMemsetAsync         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                       cudaLaunchKernel         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         0.00%       5.000us         0.00%       5.000us       5.000us             1  
                                       cudaLaunchKernel         0.00%      11.000us         0.00%      11.000us      11.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.650s

Finished profiling.
/media/sdb_disk/grade2020/guorunfan/anaconda3/envs/envgrf/lib/python3.8/site-packages/torch/nn/functional.py:1331: UserWarning: dropout2d: Received a 2-D input to dropout2d, which is deprecated and will result in an error in a future release. To retain the behavior and silence this warning, please use dropout instead. Note that dropout2d exists to provide channel-wise dropout on inputs with 2 spatial dimensions, a channel dimension, and an optional batch dimension (i.e. 3D or 4D inputs).
  warnings.warn(warn_msg)
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.277715
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.495927
Train Epoch: 1 [1280/60000 (2%)]	Loss: 1.003145
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.466260
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.574606
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.512574
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.372925
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.267373
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.272092
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.170116
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.145512
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.257230
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.285598
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.194437
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.373058
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.225317
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.206107
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.293609
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.264064
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.356462
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.136165
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.094767
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.117266
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.232051
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.163649
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.088593
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.277022
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.296752
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.128276
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.165936
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.093726
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.078304
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.047265
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.323324
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.104239
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.118108
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.097057
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.097433
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.260223
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.300401
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.198788
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.128647
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.207421
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.087539
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.194477
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.166268
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.284108
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.154886
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.058853
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.071045
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.064124
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.101901
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.085827
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.068100
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.122463
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.295850
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.288999
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.116237
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.125284
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.256861
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.227632
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.226252
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.214497
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.335034
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.048730
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.237791
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.093956
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.189090
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.130916
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.055158
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.026018
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.115728
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.166064
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.014340
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.089334
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.031781
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.272025
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.140852
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.063806
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.109680
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.128699
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.040000
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.101398
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.244612
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.198134
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.063606
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.016532
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.119948
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.028473
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.021101
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.065280
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.114653
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.010017
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.189995

Test set: Average loss: 0.0496, Accuracy: 9841/10000 (98%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.078140
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.040660
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.043046
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.065261
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.179834
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.181585
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.094378
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.025928
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.087196
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.099632
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.289268
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.126894
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.069631
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.069057
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.163483
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.043791
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.063727
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.200997
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.118707
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.043753
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.023412
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.156332
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.062630
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.059536
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.058380
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.221531
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.122896
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.069880
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.023964
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.075932
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.027770
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.042009
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.037272
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.092877
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.043591
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.032808
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.148476
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.119300
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.056174
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.041155
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.047489
