Start profiling...
STAGE:2023-03-27 15:25:53 29481:29481 ActivityProfilerController.cpp:294] Completed Stage: Warm Up
STAGE:2023-03-27 15:25:58 29481:29481 ActivityProfilerController.cpp:300] Completed Stage: Collection
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.00%      42.000us         0.00%      54.000us      54.000us             1  
                                       aten::as_strided         0.00%      12.000us         0.00%      12.000us      12.000us             1  
                                          aten::reshape         0.00%      29.000us         0.00%      45.000us      45.000us             1  
                                   aten::_reshape_alias         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                           aten::conv2d         0.00%      33.000us        97.69%        4.557s        4.557s             1  
                                      aten::convolution         0.00%      68.000us        97.69%        4.557s        4.557s             1  
                                     aten::_convolution         0.00%      77.000us        97.68%        4.557s        4.557s             1  
                                aten::cudnn_convolution         4.34%     202.653ms        97.68%        4.556s        4.556s             1  
                               cudaPointerGetAttributes         0.00%      14.000us         0.00%      14.000us      14.000us             1  
                               cudaPointerGetAttributes         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                               cudaPointerGetAttributes         0.00%      15.000us         0.00%      15.000us      15.000us             1  
                                          cudaHostAlloc         0.00%      73.000us         0.00%      73.000us      73.000us             1  
                               cudaPointerGetAttributes         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                                          cudaHostAlloc         0.00%      30.000us         0.00%      30.000us      30.000us             1  
                                     cudaGetDeviceCount         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaDriverGetVersion         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                cudaGetDeviceProperties         0.01%     279.000us         0.01%     279.000us     279.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                              cudaStreamCreateWithFlags         5.18%     241.769ms         5.18%     241.769ms     241.769ms             1  
                              cudaStreamCreateWithFlags         0.16%       7.629ms         0.16%       7.629ms       7.629ms             1  
                              cudaStreamCreateWithFlags         0.00%      22.000us         0.00%      22.000us      22.000us             1  
                              cudaStreamCreateWithFlags         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                              cudaStreamCreateWithFlags         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                              cudaStreamCreateWithFlags         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                              cudaStreamCreateWithFlags         0.00%       9.000us         0.00%       9.000us       9.000us             1  
                              cudaStreamCreateWithFlags         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                       cudaDeviceGetStreamPriorityRange         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                           cudaStreamCreateWithPriority         0.00%       2.000us         0.00%       2.000us       2.000us             1  
                           cudaStreamCreateWithPriority         0.00%      10.000us         0.00%      10.000us      10.000us             1  
                           cudaStreamCreateWithPriority         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                           cudaStreamCreateWithPriority         0.00%       8.000us         0.00%       8.000us       8.000us             1  
                                             cudaMalloc         0.01%     545.000us         0.01%     545.000us     545.000us             1  
                                             cudaMalloc         0.00%      51.000us         0.00%      51.000us      51.000us             1  
                                             cudaMalloc         0.00%       6.000us         0.00%       6.000us       6.000us             1  
                                             cudaMalloc         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                                        cudaMemsetAsync         0.00%      55.000us         0.00%      55.000us      55.000us             1  
                                        cudaMemsetAsync         0.00%      15.000us         0.00%      15.000us      15.000us             1  
                                        cudaMemsetAsync         0.00%      10.000us         0.00%      10.000us      10.000us             1  
                                        cudaMemsetAsync         0.00%      17.000us         0.00%      17.000us      17.000us             1  
                                          cudaHostAlloc         0.00%      31.000us         0.00%      31.000us      31.000us             1  
                               cudaHostGetDevicePointer         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                               cudaFree        33.13%        1.546s        33.13%        1.546s        1.546s             1  
                                 cudaDeviceGetAttribute         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaGetSymbolAddress         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                               cudaFree         6.44%     300.361ms         6.44%     300.361ms     300.361ms             1  
                                             cudaMalloc         0.00%      46.000us         0.00%      46.000us      46.000us             1  
                                             cudaMalloc         0.00%       5.000us         0.00%       5.000us       5.000us             1  
                                             cudaMalloc         0.01%     377.000us         0.01%     377.000us     377.000us             1  
                                               cudaFree         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                  cudaStreamIsCapturing         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                  cudaStreamGetPriority         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                       cudaDeviceGetStreamPriorityRange         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaFuncGetAttributes        48.38%        2.257s        48.38%        2.257s        2.257s             1  
                                   cudaFuncSetAttribute         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaFuncGetAttributes         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                            aten::empty         0.00%      37.000us         0.00%      37.000us      37.000us             1  
                                  cudaFuncGetAttributes         0.00%       3.000us         0.00%       3.000us       3.000us             1  
                                   cudaFuncSetAttribute         0.00%       1.000us         0.00%       1.000us       1.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                        cudaMemsetAsync         0.00%      57.000us         0.00%      57.000us      57.000us             1  
                                       cudaLaunchKernel         0.00%      21.000us         0.00%      21.000us      21.000us             1  
                                        cudaMemsetAsync         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                                       cudaLaunchKernel         0.00%       4.000us         0.00%       4.000us       4.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaFuncSetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         0.00%       7.000us         0.00%       7.000us       7.000us             1  
                                       cudaLaunchKernel         0.00%      20.000us         0.00%      20.000us      20.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.665s

Finished profiling.
/media/sdb_disk/grade2020/cairui/miniconda3/lib/python3.8/site-packages/torch/nn/functional.py:1331: UserWarning: dropout2d: Received a 2-D input to dropout2d, which is deprecated and will result in an error in a future release. To retain the behavior and silence this warning, please use dropout instead. Note that dropout2d exists to provide channel-wise dropout on inputs with 2 spatial dimensions, a channel dimension, and an optional batch dimension (i.e. 3D or 4D inputs).
  warnings.warn(warn_msg)
Train Epoch: 1 [0/60000 (0%)]	Loss: 2.306402
Train Epoch: 1 [640/60000 (1%)]	Loss: 1.510896
Train Epoch: 1 [1280/60000 (2%)]	Loss: 0.793270
Train Epoch: 1 [1920/60000 (3%)]	Loss: 0.818384
Train Epoch: 1 [2560/60000 (4%)]	Loss: 0.383676
Train Epoch: 1 [3200/60000 (5%)]	Loss: 0.424491
Train Epoch: 1 [3840/60000 (6%)]	Loss: 0.471672
Train Epoch: 1 [4480/60000 (7%)]	Loss: 0.333521
Train Epoch: 1 [5120/60000 (9%)]	Loss: 0.370504
Train Epoch: 1 [5760/60000 (10%)]	Loss: 0.148149
Train Epoch: 1 [6400/60000 (11%)]	Loss: 0.311540
Train Epoch: 1 [7040/60000 (12%)]	Loss: 0.194275
Train Epoch: 1 [7680/60000 (13%)]	Loss: 0.104139
Train Epoch: 1 [8320/60000 (14%)]	Loss: 0.171166
Train Epoch: 1 [8960/60000 (15%)]	Loss: 0.167686
Train Epoch: 1 [9600/60000 (16%)]	Loss: 0.189391
Train Epoch: 1 [10240/60000 (17%)]	Loss: 0.259996
Train Epoch: 1 [10880/60000 (18%)]	Loss: 0.403091
Train Epoch: 1 [11520/60000 (19%)]	Loss: 0.338435
Train Epoch: 1 [12160/60000 (20%)]	Loss: 0.280244
Train Epoch: 1 [12800/60000 (21%)]	Loss: 0.122333
Train Epoch: 1 [13440/60000 (22%)]	Loss: 0.361344
Train Epoch: 1 [14080/60000 (23%)]	Loss: 0.104251
Train Epoch: 1 [14720/60000 (25%)]	Loss: 0.135669
Train Epoch: 1 [15360/60000 (26%)]	Loss: 0.086421
Train Epoch: 1 [16000/60000 (27%)]	Loss: 0.112492
Train Epoch: 1 [16640/60000 (28%)]	Loss: 0.169175
Train Epoch: 1 [17280/60000 (29%)]	Loss: 0.156703
Train Epoch: 1 [17920/60000 (30%)]	Loss: 0.450577
Train Epoch: 1 [18560/60000 (31%)]	Loss: 0.447727
Train Epoch: 1 [19200/60000 (32%)]	Loss: 0.119744
Train Epoch: 1 [19840/60000 (33%)]	Loss: 0.161555
Train Epoch: 1 [20480/60000 (34%)]	Loss: 0.115683
Train Epoch: 1 [21120/60000 (35%)]	Loss: 0.093302
Train Epoch: 1 [21760/60000 (36%)]	Loss: 0.163814
Train Epoch: 1 [22400/60000 (37%)]	Loss: 0.089413
Train Epoch: 1 [23040/60000 (38%)]	Loss: 0.125442
Train Epoch: 1 [23680/60000 (39%)]	Loss: 0.063223
Train Epoch: 1 [24320/60000 (41%)]	Loss: 0.051643
Train Epoch: 1 [24960/60000 (42%)]	Loss: 0.313695
Train Epoch: 1 [25600/60000 (43%)]	Loss: 0.061633
Train Epoch: 1 [26240/60000 (44%)]	Loss: 0.125350
Train Epoch: 1 [26880/60000 (45%)]	Loss: 0.041707
Train Epoch: 1 [27520/60000 (46%)]	Loss: 0.048794
Train Epoch: 1 [28160/60000 (47%)]	Loss: 0.443034
Train Epoch: 1 [28800/60000 (48%)]	Loss: 0.062547
Train Epoch: 1 [29440/60000 (49%)]	Loss: 0.067363
Train Epoch: 1 [30080/60000 (50%)]	Loss: 0.330415
Train Epoch: 1 [30720/60000 (51%)]	Loss: 0.095671
Train Epoch: 1 [31360/60000 (52%)]	Loss: 0.173996
Train Epoch: 1 [32000/60000 (53%)]	Loss: 0.173462
Train Epoch: 1 [32640/60000 (54%)]	Loss: 0.195603
Train Epoch: 1 [33280/60000 (55%)]	Loss: 0.282491
Train Epoch: 1 [33920/60000 (57%)]	Loss: 0.062173
Train Epoch: 1 [34560/60000 (58%)]	Loss: 0.040768
Train Epoch: 1 [35200/60000 (59%)]	Loss: 0.068832
Train Epoch: 1 [35840/60000 (60%)]	Loss: 0.090826
Train Epoch: 1 [36480/60000 (61%)]	Loss: 0.039064
Train Epoch: 1 [37120/60000 (62%)]	Loss: 0.221080
Train Epoch: 1 [37760/60000 (63%)]	Loss: 0.318671
Train Epoch: 1 [38400/60000 (64%)]	Loss: 0.127582
Train Epoch: 1 [39040/60000 (65%)]	Loss: 0.152842
Train Epoch: 1 [39680/60000 (66%)]	Loss: 0.091707
Train Epoch: 1 [40320/60000 (67%)]	Loss: 0.080999
Train Epoch: 1 [40960/60000 (68%)]	Loss: 0.071444
Train Epoch: 1 [41600/60000 (69%)]	Loss: 0.037025
Train Epoch: 1 [42240/60000 (70%)]	Loss: 0.112232
Train Epoch: 1 [42880/60000 (71%)]	Loss: 0.088100
Train Epoch: 1 [43520/60000 (72%)]	Loss: 0.097756
Train Epoch: 1 [44160/60000 (74%)]	Loss: 0.181890
Train Epoch: 1 [44800/60000 (75%)]	Loss: 0.247458
Train Epoch: 1 [45440/60000 (76%)]	Loss: 0.141800
Train Epoch: 1 [46080/60000 (77%)]	Loss: 0.085046
Train Epoch: 1 [46720/60000 (78%)]	Loss: 0.072346
Train Epoch: 1 [47360/60000 (79%)]	Loss: 0.037462
Train Epoch: 1 [48000/60000 (80%)]	Loss: 0.024631
Train Epoch: 1 [48640/60000 (81%)]	Loss: 0.092919
Train Epoch: 1 [49280/60000 (82%)]	Loss: 0.041921
Train Epoch: 1 [49920/60000 (83%)]	Loss: 0.190758
Train Epoch: 1 [50560/60000 (84%)]	Loss: 0.118248
Train Epoch: 1 [51200/60000 (85%)]	Loss: 0.094212
Train Epoch: 1 [51840/60000 (86%)]	Loss: 0.028577
Train Epoch: 1 [52480/60000 (87%)]	Loss: 0.176413
Train Epoch: 1 [53120/60000 (88%)]	Loss: 0.016580
Train Epoch: 1 [53760/60000 (90%)]	Loss: 0.154447
Train Epoch: 1 [54400/60000 (91%)]	Loss: 0.048244
Train Epoch: 1 [55040/60000 (92%)]	Loss: 0.108402
Train Epoch: 1 [55680/60000 (93%)]	Loss: 0.057271
Train Epoch: 1 [56320/60000 (94%)]	Loss: 0.080686
Train Epoch: 1 [56960/60000 (95%)]	Loss: 0.030689
Train Epoch: 1 [57600/60000 (96%)]	Loss: 0.017433
Train Epoch: 1 [58240/60000 (97%)]	Loss: 0.266757
Train Epoch: 1 [58880/60000 (98%)]	Loss: 0.090762
Train Epoch: 1 [59520/60000 (99%)]	Loss: 0.147336

Test set: Average loss: 0.0529, Accuracy: 9825/10000 (98%)

Train Epoch: 2 [0/60000 (0%)]	Loss: 0.055311
Train Epoch: 2 [640/60000 (1%)]	Loss: 0.135254
Train Epoch: 2 [1280/60000 (2%)]	Loss: 0.046636
Train Epoch: 2 [1920/60000 (3%)]	Loss: 0.155510
Train Epoch: 2 [2560/60000 (4%)]	Loss: 0.029957
Train Epoch: 2 [3200/60000 (5%)]	Loss: 0.011987
Train Epoch: 2 [3840/60000 (6%)]	Loss: 0.024075
Train Epoch: 2 [4480/60000 (7%)]	Loss: 0.100633
Train Epoch: 2 [5120/60000 (9%)]	Loss: 0.107361
Train Epoch: 2 [5760/60000 (10%)]	Loss: 0.071862
Train Epoch: 2 [6400/60000 (11%)]	Loss: 0.038179
Train Epoch: 2 [7040/60000 (12%)]	Loss: 0.061084
Train Epoch: 2 [7680/60000 (13%)]	Loss: 0.128071
Train Epoch: 2 [8320/60000 (14%)]	Loss: 0.030581
Train Epoch: 2 [8960/60000 (15%)]	Loss: 0.016449
Train Epoch: 2 [9600/60000 (16%)]	Loss: 0.064512
Train Epoch: 2 [10240/60000 (17%)]	Loss: 0.067686
Train Epoch: 2 [10880/60000 (18%)]	Loss: 0.063577
Train Epoch: 2 [11520/60000 (19%)]	Loss: 0.017303
Train Epoch: 2 [12160/60000 (20%)]	Loss: 0.016902
Train Epoch: 2 [12800/60000 (21%)]	Loss: 0.165091
Train Epoch: 2 [13440/60000 (22%)]	Loss: 0.068197
Train Epoch: 2 [14080/60000 (23%)]	Loss: 0.046649
Train Epoch: 2 [14720/60000 (25%)]	Loss: 0.048077
Train Epoch: 2 [15360/60000 (26%)]	Loss: 0.026637
Train Epoch: 2 [16000/60000 (27%)]	Loss: 0.051954
Train Epoch: 2 [16640/60000 (28%)]	Loss: 0.032361
Train Epoch: 2 [17280/60000 (29%)]	Loss: 0.302874
Train Epoch: 2 [17920/60000 (30%)]	Loss: 0.017595
Train Epoch: 2 [18560/60000 (31%)]	Loss: 0.026607
Train Epoch: 2 [19200/60000 (32%)]	Loss: 0.134096
Train Epoch: 2 [19840/60000 (33%)]	Loss: 0.018323
Train Epoch: 2 [20480/60000 (34%)]	Loss: 0.057990
Train Epoch: 2 [21120/60000 (35%)]	Loss: 0.027039
Train Epoch: 2 [21760/60000 (36%)]	Loss: 0.104864
Train Epoch: 2 [22400/60000 (37%)]	Loss: 0.118632
Train Epoch: 2 [23040/60000 (38%)]	Loss: 0.032436
Train Epoch: 2 [23680/60000 (39%)]	Loss: 0.160245
Train Epoch: 2 [24320/60000 (41%)]	Loss: 0.230357
Train Epoch: 2 [24960/60000 (42%)]	Loss: 0.036551
Train Epoch: 2 [25600/60000 (43%)]	Loss: 0.094556
